Make,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),engine_class,mileage,Age,km_year,qcut_km_year,mileage_class,is_retro,is_japan,is_german,is_cargo_passenger,is_off_road,is_mpv,is_open_top
23,2010,10,182000,1800.0,4,,11750.0,1,2,12,15167.0,1,2,0,0,1,0,0,0,0
34,2005,11,300000,2000.0,4,,4999.0,1,2,17,17647.0,2,2,0,0,0,1,0,0,0
28,2008,11,310000,1300.0,0,,4850.0,3,2,14,22143.0,2,2,0,0,1,1,0,0,0
34,2014,10,186000,1600.0,0,,12300.0,3,2,8,23250.0,2,2,0,0,0,0,0,0,0
41,2011,7,150000,2000.0,0,,12800.0,1,1,11,13636.0,1,2,0,0,1,1,1,1,0
23,2000,6,258000,2200.0,0,,2999.0,1,2,22,11727.0,0,2,0,0,1,1,0,1,0
27,2016,3,151000,1500.0,0,,13890.0,3,2,6,25167.0,2,2,0,1,0,1,1,0,0
2,2018,10,46000,2000.0,4,,27650.0,1,0,4,11500.0,0,0,0,0,1,0,0,0,0
31,2010,11,257110,1500.0,0,,4999.0,3,2,12,21426.0,2,2,0,0,0,1,0,0,0
11,2016,10,167000,1500.0,0,,12990.0,3,2,6,27833.0,2,2,0,0,0,0,0,0,0
39,2018,3,114000,1800.0,2,,16750.0,1,1,4,28500.0,2,1,0,1,0,1,1,0,0
27,2017,3,157600,1500.0,0,,11990.0,3,2,5,31520.0,2,2,0,1,0,1,1,0,0
39,2014,11,190000,1800.0,2,,8990.0,1,2,8,23750.0,2,2,0,1,0,1,0,0,0
39,2017,3,119000,1800.0,2,,18790.0,1,1,5,23800.0,2,1,0,1,0,1,1,0,0
29,2018,3,145000,1500.0,0,,16790.0,3,1,4,36250.0,2,1,0,0,0,1,1,0,0
31,2016,3,150200,1500.0,0,,13450.0,3,2,6,25033.0,2,2,0,0,0,1,1,0,0
20,2015,9,149000,2500.0,2,,21750.0,1,1,7,21286.0,2,1,0,1,0,1,0,0,0
41,2006,10,216000,2000.0,4,,5350.0,1,2,16,13500.0,1,2,0,0,1,0,0,0,0
15,2016,3,88000,1500.0,0,,15790.0,3,1,6,14667.0,1,1,0,1,0,1,1,0,0
41,2007,11,320000,1600.0,3,,5999.0,3,2,15,21333.0,2,2,0,0,1,1,0,0,0
14,2006,4,298000,1500.0,0,,2999.0,3,2,16,18625.0,2,2,0,1,0,0,0,0,0
13,2017,4,27138,1500.0,4,,13300.0,3,0,5,5428.0,0,0,0,1,0,0,0,0,0
31,2016,3,140000,1500.0,0,,12400.0,3,1,6,23333.0,2,1,0,0,0,1,1,0,0
34,2012,10,166000,1600.0,0,,8990.0,3,2,10,16600.0,1,2,0,0,0,0,0,0,0
34,2009,10,223000,2000.0,0,,8990.0,1,2,13,17154.0,2,2,0,0,0,0,0,0,0
39,2006,11,198563,1400.0,0,,5350.0,3,2,16,12410.0,1,2,0,1,0,1,0,0,0
42,2000,10,202698,2800.0,4,,3999.0,1,2,22,9214.0,0,2,0,0,0,0,0,0,0
19,2000,9,230000,2000.0,0,,2750.0,1,2,22,10455.0,0,2,0,0,0,1,0,0,0
2,2018,10,82000,2000.0,0,,34000.0,1,1,4,20500.0,2,1,0,0,1,0,0,0,0
41,1995,11,250369,1800.0,4,,2700.0,1,2,27,9273.0,0,2,0,0,1,1,0,0,0
18,2005,10,250632,2000.0,3,,2690.0,1,2,17,14743.0,1,2,0,0,0,0,0,0,0
33,1998,1,300000,1900.0,0,,1450.0,1,2,24,12500.0,1,2,0,0,0,1,0,0,0
34,2012,6,165500,1200.0,0,,5100.0,3,2,10,16550.0,1,2,0,0,0,1,0,1,0
25,2011,9,248000,2000.0,4,,9900.0,1,2,11,22545.0,2,2,0,1,0,1,0,0,0
11,2016,11,170000,1499.0,0,,8890.0,3,2,6,28333.0,2,2,0,0,0,1,0,0,0
31,2008,11,245000,1500.0,0,,3600.0,3,2,14,17500.0,2,2,0,0,0,1,0,0,0
13,1999,11,290000,1500.0,4,,1800.0,3,2,23,12609.0,1,2,0,1,0,1,0,0,0
14,2014,3,120000,200.0,3,,12000.0,2,1,8,15000.0,1,1,0,1,0,1,1,0,0
31,2007,10,211000,1400.0,4,,2900.0,3,2,15,14067.0,1,2,0,0,0,0,0,0,0
1,2012,10,166700,2000.0,4,,10200.0,1,2,10,16670.0,1,2,0,0,1,0,0,0,0
1,2016,4,145000,1400.0,1,,16450.0,3,1,6,24167.0,2,1,0,0,1,0,0,0,0
20,2014,10,81700,1800.0,2,,12450.0,1,1,8,10212.0,0,1,0,1,0,0,0,0,0
39,2013,11,142865,1400.0,0,,8700.0,3,1,9,15874.0,1,1,0,1,0,1,0,0,0
40,2007,10,135865,1400.0,4,,1500.0,3,1,15,9058.0,0,2,0,0,0,0,0,0,0
31,2013,6,181000,1500.0,0,,7000.0,3,2,9,20111.0,2,2,0,0,0,1,0,1,0
34,2014,11,155000,1400.0,4,,9700.0,3,2,8,19375.0,2,2,0,0,0,1,0,0,0
34,2015,10,164000,1600.0,0,,12750.0,3,2,7,23429.0,2,2,0,0,0,0,0,0,0
41,2010,2,150589,1400.0,4,,7999.0,3,2,12,12549.0,1,2,0,0,1,0,0,0,0
